BTC,ETH,MATIC
21974.67,1509.3,0.82
20708.83,1368.64,0.73
21453.58,1492.36,0.81
23085.18,1650.71,0.88
24015.95,1724.15,0.95
24338.6,1716.39,0.95
23711.84,1704.48,0.95
23424.41,1684.88,0.92
23025.54,1625.49,0.88
23282.91,1653.62,0.91
22891.8,1612.56,0.89
23173.59,1693.62,0.92
23204.88,1716.76,0.92
23106.61,1704.28,0.91
24141.53,1794.21,0.94
23072.6,1684.02,0.88
23941.15,1829.52,0.93
24560.02,1902.95,0.93
23811.38,1881.53,0.91
24470.31,1980.91,1.01
24508.58,1981.33,1.01
24064.74,1903.65,0.95
23737.37,1873.89,0.94
23409.83,1860.66,0.9
21351.58,1691.18,0.7799999999999999
21244.41,1632.56,0.79
21382.1,1616.44,0.8000000000000002
21180.0,1562.34,0.78
21448.1,1631.59,0.82
21458.81,1648.59,0.81
21639.3,1710.12,0.82
21147.46,1634.78,0.81
20088.89,1490.51,0.8
19891.77,1473.99,0.82
20156.79,1510.78,0.8
19831.85,1524.36,0.8
20095.22,1566.05,0.83
19698.22,1519.85,0.84
20352.65,1636.8,0.9
19792.4,1549.85,0.87
19745.63,1553.69,0.88
19845.11,1590.52,0.88
19825.93,1665.22,0.88
18895.5,1543.5,0.81
19295.19,1642.44,0.84
21074.02,1724.81,0.89
21220.93,1717.2,0.88
21503.77,1762.09,0.89
22281.27,1735.27,0.93
21172.57,1606.24,0.86
20285.21,1599.9,0.85
19668.28,1494.57,0.84
19654.25,1448.55,0.8000000000000002
19898.09,1443.74,0.82
19792.28,1421.47,0.8133333333333334
19287.59,1355.43,0.77
19060.12,1358.32,0.75
19230.58,1341.73,0.7324999999999999
18848.62,1265.95,0.73
18655.33,1283.27,0.73
19077.4,1341.78,0.77
18901.0,1305.68,0.75
19120.46,1329.8,0.76
19180.45,1319.6,0.75
19970.02,1359.68,0.78
19307.98,1322.37,0.77
19086.31,1289.78,0.77
19403.36,1319.4,0.78
20093.42,1350.12,0.84
19863.57,1325.03,0.83
20088.63,1368.82,0.84
19650.12,1339.2,0.84
19487.66,1323.99,0.81
19505.0,1324.34,0.82
19248.65,1306.02,0.83
19019.01,1282.74,0.79
19088.53,1295.64,0.79
18413.52,1222.02,0.7399999999999999
19460.99,1319.7,0.8000000000000002
19129.36,1287.9,0.8000000000000002
19120.62,1282.56,0.8000000000000002
19450.05,1324.87,0.83
19395.81,1309.75,0.85
19159.91,1297.07,0.87
19303.45,1305.88,0.84
18989.16,1280.25,0.8000000000000002
19262.07,1315.45,0.83
19178.29,1311.15,0.83
19263.68,1334.36,0.88
19499.61,1382.16,0.9
20818.45,1576.81,0.95
20551.8,1548.21,0.92
20493.37,1532.68,0.93
20836.41,1618.67,0.93
20722.58,1597.94,0.91
20316.47,1556.88,0.91
20391.52,1569.31,0.88
20420.28,1560.11,0.8533333333333334
20294.93,1568.71,0.9499999999999998
23269.11,1659.82,1.15
21241.29,1630.88,1.19
21214.0,1626.47,1.17
20631.13,1571.84,1.23
19420.52,1446.09,1.12
17606.23,1224.1,0.9499999999999998
17588.76,1305.54,1.09
16930.98,1259.52,1.02
16886.95,1273.92,0.96
16607.63,1237.57,0.9
16622.83,1250.15,0.92
16904.77,1267.47,0.9499999999999998
16449.75,1205.8,0.89
16465.05,1192.48,0.87
16653.29,1212.77,0.88
16590.4,1206.48,0.86
16489.75,1172.11,0.84
16110.89,1133.07,0.81
16012.92,1121.4,0.85
16386.37,1164.23,0.85
16416.01,1192.91,0.85
16301.13,1191.7,0.84
16387.19,1212.76,0.86
16428.0,1211.92,0.85
16083.36,1165.94,0.82
16314.56,1204.75,0.83
16808.9,1266.0,0.87
17067.72,1281.96,0.93
16892.48,1279.61,0.91
16891.5,1269.1,0.92
16949.74,1259.71,0.91
17115.64,1283.0,0.92
16903.68,1251.86,0.91
16781.16,1233.46,0.89
16870.78,1247.82,0.9
17147.67,1274.01,0.92
17127.65,1271.04,0.91
17110.34,1271.35,0.91
16972.17,1250.75,0.88
17791.52,1332.62,0.93
17991.11,1340.29,0.93
17417.4,1270.51,0.89
16997.9,1214.9,0.86
16631.43,1177.44,0.8
16645.54,1175.31,0.81
16706.54,1186.74,0.79
16865.97,1219.91,0.8
16741.11,1213.43,0.79
16598.58,1192.65,0.78
16722.92,1216.83,0.79
16789.58,1218.59,0.8
16769.82,1212.85,0.79
16789.18,1216.07,0.8
16700.04,1209.46,0.8
16647.06,1204.27,0.79
16552.43,1201.43,0.78
16367.05,1187.91,0.75
16555.39,1202.77,0.77
16477.84,1193.58,0.75
16650.38,1215.43,0.78
16613.98,1209.35,0.78
16771.27,1248.62,0.8
16761.02,1246.87,0.79
16726.7,1247.98,0.78
16905.88,1264.64,0.8
16939.37,1266.34,0.8
17257.87,1325.96,0.86
17264.45,1331.07,0.84
17381.67,1332.27,0.85
17978.23,1380.6,0.87
18958.69,1411.29,0.9
20763.61,1522.53,0.98
20773.78,1539.98,0.98
20811.89,1541.98,0.9899999999999999
21259.81,1580.78,1.01
21390.54,1593.91,1.01
20754.08,1532.14,0.93
21075.66,1560.24,0.9499999999999998
22853.41,1649.44,1.01
22928.99,1643.93,1.01
22627.46,1610.0,0.98
22799.39,1614.36,1.0
22371.61,1537.68,0.94
22929.27,1607.31,1.06
22874.43,1580.44,1.12
22831.6,1570.63,1.1
23490.76,1614.71,1.19
23214.19,1595.65,1.12
23006.86,1583.69,1.1
23054.12,1584.8,1.09
23579.03,1655.36,1.21
23490.42,1659.62,1.21
23482.88,1680.35,1.24
23154.03,1652.1,1.22
22788.5,1628.69,1.2
22935.27,1637.73,1.23
23056.01,1669.83,1.31
22654.38,1637.57,1.33
21799.22,1542.72,1.29
21743.86,1526.83,1.24
21894.57,1532.33,1.29
21661.0,1490.18,1.17
22184.95,1560.78,1.22
22645.88,1571.16,1.27
24397.76,1678.69,1.38
23838.45,1658.61,1.4466666666666665
24635.53,1696.91,1.51
24747.8,1704.93,1.5200000000000002
24981.03,1714.15,1.4799999999999998
24643.92,1674.4,1.3999999999999997
23942.82,1629.77,1.36
24005.6,1661.47,1.37
23789.08,1636.45,1.32
22982.14,1597.45,1.26
23207.43,1603.49,1.27
23768.64,1658.53,1.28
23427.58,1635.57,1.22
23658.31,1655.5,1.2433333333333334
23291.04,1625.48,1.2
22409.38,1571.32,1.17
22336.45,1566.92,1.14
22421.59,1569.51,1.14
22423.78,1570.1,1.12
22274.13,1561.96,1.133333333333333
21947.6,1549.07,1.09
21711.74,1539.05,1.09
19886.2,1401.89,1.0
22200.11,1574.68,1.11
21465.21,1535.6,1.13
23587.52,1657.64,1.18
25920.06,1772.77,1.24
24709.1,1662.54,1.15
24910.83,1664.26,1.14
26290.41,1714.92,1.17
27585.39,1820.16,1.23
27374.81,1791.75,1.19
